objective_included,qoe_included,cost_weights,qoe_weights,qoe_simulation_modes,qoe_accuracies,latency_weights,gini_weights
0,1,0,1,Real,0,0,0
0,1,0.5,0.5,Real,0,0,0
0,1,1,0,Real,0,0,0
0,1,0,0,Real,0,0,1
0,1,0,0,Real,0,0.5,0.5
0,1,0,0,Real,0,1,0
0,1,0.25,0.25,Real,0,0.25,0.25
0,1,0.5,0,Real,0,0.5,0
0,1,0.5,0,Real,0,0,0.5
0,1,0,0.5,Real,0,0.5,0
0,1,0,0.5,Real,0,0,0.5
0,1,0,1,Simulation,1,0,0
0,1,0.5,0.5,Simulation,1,0,0
0,1,1,0,Simulation,1,0,0
0,1,0,0,Simulation,1,0,1
0,1,0,0,Simulation,1,0.5,0.5
0,1,0,0,Simulation,1,1,0
0,1,0.25,0.25,Simulation,1,0.25,0.25
0,1,0.5,0,Simulation,1,0.5,0
0,1,0.5,0,Simulation,1,0,0.5
0,1,0,0.5,Simulation,1,0.5,0
0,1,0,0.5,Simulation,1,0,0.5
0,1,0,1,Simulation,0.9,0,0
0,1,0.5,0.5,Simulation,0.9,0,0
0,1,1,0,Simulation,0.9,0,0
0,1,0,0,Simulation,0.9,0,1
0,1,0,0,Simulation,0.9,0.5,0.5
0,1,0,0,Simulation,0.9,1,0
0,1,0.25,0.25,Simulation,0.9,0.25,0.25
0,1,0.5,0,Simulation,0.9,0.5,0
0,1,0.5,0,Simulation,0.9,0,0.5
0,1,0,0.5,Simulation,0.9,0.5,0
0,1,0,0.5,Simulation,0.9,0,0.5
0,1,0,1,Simulation,0.8,0,0
0,1,0.5,0.5,Simulation,0.8,0,0
0,1,1,0,Simulation,0.8,0,0
0,1,0,0,Simulation,0.8,0,1
0,1,0,0,Simulation,0.8,0.5,0.5
0,1,0,0,Simulation,0.8,1,0
0,1,0.25,0.25,Simulation,0.8,0.25,0.25
0,1,0.5,0,Simulation,0.8,0.5,0
0,1,0.5,0,Simulation,0.8,0,0.5
0,1,0,0.5,Simulation,0.8,0.5,0
0,1,0,0.5,Simulation,0.8,0,0.5
0,1,0,1,Simulation,0.7,0,0
0,1,0.5,0.5,Simulation,0.7,0,0
0,1,1,0,Simulation,0.7,0,0
0,1,0,0,Simulation,0.7,0,1
0,1,0,0,Simulation,0.7,0.5,0.5
0,1,0,0,Simulation,0.7,1,0
0,1,0.25,0.25,Simulation,0.7,0.25,0.25
0,1,0.5,0,Simulation,0.7,0.5,0
0,1,0.5,0,Simulation,0.7,0,0.5
0,1,0,0.5,Simulation,0.7,0.5,0
0,1,0,0.5,Simulation,0.7,0,0.5
1,1,0,1,Real,0,0,0
1,1,0.5,0.5,Real,0,0,0
1,1,1,0,Real,0,0,0
1,1,0,0,Real,0,0,1
1,1,0,0,Real,0,0.5,0.5
1,1,0,0,Real,0,1,0
1,1,0.25,0.25,Real,0,0.25,0.25
1,1,0.5,0,Real,0,0.5,0
1,1,0.5,0,Real,0,0,0.5
1,1,0,0.5,Real,0,0.5,0
1,1,0,0.5,Real,0,0,0.5
1,1,0,1,Simulation,1,0,0
1,1,0.5,0.5,Simulation,1,0,0
1,1,1,0,Simulation,1,0,0
1,1,0,0,Simulation,1,0,1
1,1,0,0,Simulation,1,0.5,0.5
1,1,0,0,Simulation,1,1,0
1,1,0.25,0.25,Simulation,1,0.25,0.25
1,1,0.5,0,Simulation,1,0.5,0
1,1,0.5,0,Simulation,1,0,0.5
1,1,0,0.5,Simulation,1,0.5,0
1,1,0,0.5,Simulation,1,0,0.5
1,1,0,1,Simulation,0.9,0,0
1,1,0.5,0.5,Simulation,0.9,0,0
1,1,1,0,Simulation,0.9,0,0
1,1,0,0,Simulation,0.9,0,1
1,1,0,0,Simulation,0.9,0.5,0.5
1,1,0,0,Simulation,0.9,1,0
1,1,0.25,0.25,Simulation,0.9,0.25,0.25
1,1,0.5,0,Simulation,0.9,0.5,0
1,1,0.5,0,Simulation,0.9,0,0.5
1,1,0,0.5,Simulation,0.9,0.5,0
1,1,0,0.5,Simulation,0.9,0,0.5
1,1,0,1,Simulation,0.8,0,0
1,1,0.5,0.5,Simulation,0.8,0,0
1,1,1,0,Simulation,0.8,0,0
1,1,0,0,Simulation,0.8,0,1
1,1,0,0,Simulation,0.8,0.5,0.5
1,1,0,0,Simulation,0.8,1,0
1,1,0.25,0.25,Simulation,0.8,0.25,0.25
1,1,0.5,0,Simulation,0.8,0.5,0
1,1,0.5,0,Simulation,0.8,0,0.5
1,1,0,0.5,Simulation,0.8,0.5,0
1,1,0,0.5,Simulation,0.8,0,0.5
1,1,0,1,Simulation,0.7,0,0
1,1,0.5,0.5,Simulation,0.7,0,0
1,1,1,0,Simulation,0.7,0,0
1,1,0,0,Simulation,0.7,0,1
1,1,0,0,Simulation,0.7,0.5,0.5
1,1,0,0,Simulation,0.7,1,0
1,1,0.25,0.25,Simulation,0.7,0.25,0.25
1,1,0.5,0,Simulation,0.7,0.5,0
1,1,0.5,0,Simulation,0.7,0,0.5
1,1,0,0.5,Simulation,0.7,0.5,0
1,1,0,0.5,Simulation,0.7,0,0.5
1,0,0,1,Real,0,0,0
1,0,0.5,0.5,Real,0,0,0
1,0,1,0,Real,0,0,0
1,0,0,0,Real,0,0,1
1,0,0,0,Real,0,0.5,0.5
1,0,0,0,Real,0,1,0
1,0,0.25,0.25,Real,0,0.25,0.25
1,0,0.5,0,Real,0,0.5,0
1,0,0.5,0,Real,0,0,0.5
1,0,0,0.5,Real,0,0.5,0
1,0,0,0.5,Real,0,0,0.5
