episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
1,67.67,0.0,100.0,4.68,78.26,5.42,72.78,0.05,65.44,34.88,2.53,0.55,17.0,83.0,0.0,0.1
2,56.02,0.0,100.0,4.0,106.12,5.0,101.0,0.12,109.05,33.09,0.35,0.67,0.0,0.0,100.0,0.09
3,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,62.14,37.18,0.22,0.67,0.0,0.0,100.0,0.09
4,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,100.62,45.48,2.63,0.67,100.0,0.0,0.0,0.09
5,70.38,0.0,100.0,6.76,71.8,6.15,65.58,0.07,135.04,44.08,1.03,0.51,77.0,0.0,23.0,0.11
6,63.74,0.0,100.0,1.24,87.65,1.32,86.28,0.05,71.01,10.41,0.62,0.61,92.0,8.0,0.0,0.08
7,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,109.62,43.56,3.34,0.67,100.0,0.0,0.0,0.1
8,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,67.54,26.73,3.14,0.67,100.0,0.0,0.0,0.11
9,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,107.43,34.45,2.7,0.67,0.0,100.0,0.0,0.08
10,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,118.26,41.0,3.56,0.67,100.0,0.0,0.0,0.08
11,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,120.43,11.68,8.43,0.67,100.0,0.0,0.0,0.1
12,60.08,0.0,100.0,3.85,96.41,4.8,91.5,0.11,138.09,41.21,4.85,0.67,0.0,0.0,100.0,0.11
13,58.45,0.0,100.0,4.0,100.3,5.0,95.18,0.12,80.74,30.42,5.12,0.65,3.0,0.0,97.0,0.13
14,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,85.62,41.23,3.11,0.67,100.0,0.0,0.0,0.09
15,60.42,0.0,100.0,8.0,95.59,7.5,87.98,0.11,29.1,8.66,1.16,0.62,0.0,7.0,93.0,0.1
16,60.37,0.0,100.0,8.56,95.71,7.67,87.98,0.05,108.23,45.65,0.69,0.67,100.0,0.0,0.0,0.1
17,77.13,0.0,100.0,2.86,55.67,3.58,51.98,0.11,32.41,9.98,5.79,0.38,57.0,0.0,43.0,0.12
18,76.76,0.0,100.0,8.5,56.55,5.5,51.0,0.05,82.67,23.77,5.79,0.67,0.0,100.0,0.0,0.08
19,76.4,0.0,100.0,3.66,57.4,3.47,53.88,0.05,126.05,41.68,2.61,0.67,100.0,0.0,0.0,0.1
20,65.76,0.0,100.0,16.0,82.85,10.0,72.78,0.07,133.41,44.41,0.74,0.55,83.0,0.0,17.0,0.09
21,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,98.83,46.06,2.03,0.67,100.0,0.0,0.0,0.09
22,65.91,0.0,100.0,1.0,82.48,1.0,81.42,0.06,136.24,31.22,0.8,0.59,89.0,0.0,11.0,0.16
23,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,148.71,39.52,2.83,0.67,100.0,0.0,0.0,0.13
24,73.6,0.0,100.0,13.12,64.1,9.1,54.92,0.08,75.9,35.23,4.6,0.43,64.0,0.0,36.0,0.08
25,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,88.05,45.18,1.77,0.67,100.0,0.0,0.0,0.12
26,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,127.79,32.81,0.56,0.67,100.0,0.0,0.0,0.15
27,75.55,0.0,100.0,9.04,59.44,7.1,52.28,0.06,62.79,23.93,4.67,0.39,58.0,42.0,0.0,0.08
28,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,85.66,41.95,5.67,0.67,100.0,0.0,0.0,0.08
29,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,107.73,40.56,3.51,0.67,100.0,0.0,0.0,0.11
30,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,85.73,31.3,2.0,0.67,0.0,0.0,100.0,0.09
31,69.57,0.0,100.0,3.14,73.73,3.45,70.22,0.06,79.02,34.01,2.24,0.54,0.0,81.0,19.0,0.08
32,75.6,0.0,100.0,7.32,59.32,5.35,53.88,0.09,94.82,32.2,1.62,0.41,0.0,38.0,62.0,0.1
33,56.04,0.0,100.0,4.0,106.07,5.0,101.0,0.07,124.86,39.23,0.41,0.67,0.0,0.0,100.0,0.1
34,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,95.91,45.33,2.51,0.67,100.0,0.0,0.0,0.11
35,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,121.08,43.66,1.62,0.67,100.0,0.0,0.0,0.11
36,57.71,0.0,100.0,1.0,102.06,1.0,101.0,0.06,93.48,42.0,1.41,0.67,100.0,0.0,0.0,0.1
37,77.85,0.0,100.0,6.52,53.95,6.47,47.42,0.05,123.05,38.38,2.43,0.67,100.0,0.0,0.0,0.11
38,71.34,0.0,100.0,6.25,69.49,5.88,63.5,0.12,56.04,32.18,0.52,0.5,25.0,0.0,75.0,0.11
39,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,61.32,38.13,4.71,0.67,100.0,0.0,0.0,0.14
40,56.02,0.0,100.0,4.0,106.12,5.0,101.0,0.12,90.07,27.68,2.7,0.67,0.0,0.0,100.0,0.11
41,72.39,0.0,100.0,1.23,66.98,1.34,65.58,0.05,96.93,25.84,4.74,0.51,23.0,77.0,0.0,0.11
42,66.71,0.0,100.0,4.0,80.55,5.0,75.5,0.05,131.61,45.86,2.1,0.67,100.0,0.0,0.0,0.12
43,56.04,0.0,100.0,4.0,106.06,5.0,101.0,0.06,85.9,12.91,2.91,0.67,100.0,0.0,0.0,0.09
44,77.8,0.0,100.0,2.5,54.05,3.0,51.0,0.05,122.18,44.58,1.51,0.67,100.0,0.0,0.0,0.12
45,58.39,0.0,100.0,4.36,100.44,5.15,95.18,0.11,134.55,33.51,0.33,0.65,0.0,3.0,97.0,0.12
46,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,41.34,43.18,2.04,0.67,0.0,0.0,100.0,0.08
47,72.33,0.0,100.0,7.36,67.13,6.4,60.68,0.05,104.17,42.43,1.5,0.67,100.0,0.0,0.0,0.19
48,70.06,0.0,100.0,7.08,72.56,6.92,65.58,0.05,112.75,45.45,2.57,0.67,100.0,0.0,0.0,0.09
49,77.26,0.0,100.0,2.71,55.34,3.28,51.98,0.08,82.13,36.41,2.98,0.38,0.0,57.0,43.0,0.07
50,77.8,0.0,100.0,2.5,54.06,3.0,51.0,0.06,93.75,41.77,5.51,0.67,100.0,0.0,0.0,0.07
51,66.36,0.0,100.0,3.58,81.41,4.44,76.92,0.05,125.67,41.72,3.81,0.67,100.0,0.0,0.0,0.07
52,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,63.97,16.67,3.22,0.67,0.0,100.0,0.0,0.12
53,74.71,0.0,100.0,5.4,61.44,5.88,55.5,0.06,128.87,34.52,1.71,0.43,35.0,65.0,0.0,0.07
54,67.03,0.0,100.0,14.48,79.81,9.53,70.22,0.06,112.37,43.84,1.59,0.67,100.0,0.0,0.0,0.08
55,74.77,0.0,100.0,1.29,61.31,1.44,59.82,0.05,132.4,41.17,2.59,0.67,100.0,0.0,0.0,0.07
56,69.64,0.0,100.0,12.55,73.56,7.93,65.58,0.05,109.16,16.47,6.49,0.67,100.0,0.0,0.0,0.06
57,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,130.42,40.87,3.09,0.67,100.0,0.0,0.0,0.07
58,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,44.02,34.81,1.63,0.67,0.0,0.0,100.0,0.07
59,67.24,0.0,100.0,3.1,79.3,2.26,76.92,0.12,53.89,25.91,0.12,0.57,14.0,0.0,86.0,0.07
60,63.94,0.0,100.0,2.0,87.18,2.5,84.62,0.06,57.42,17.49,4.13,0.61,0.0,91.0,9.0,0.06
61,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,57.21,17.4,4.36,0.67,100.0,0.0,0.0,0.06
62,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,98.29,45.16,2.96,0.67,100.0,0.0,0.0,0.07
63,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,112.86,46.22,1.5,0.67,100.0,0.0,0.0,0.06
64,77.72,0.0,100.0,2.38,54.24,2.84,51.32,0.08,62.39,33.44,1.05,0.36,54.0,0.0,46.0,0.06
65,77.18,0.0,100.0,4.64,55.55,4.38,51.08,0.09,98.23,34.48,4.21,0.35,52.0,0.0,48.0,0.07
66,80.77,0.0,100.0,5.96,46.96,6.22,40.66,0.08,18.52,3.36,5.93,0.23,49.0,14.0,37.0,0.06
67,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,123.72,46.21,3.64,0.67,100.0,0.0,0.0,0.07
68,54.99,0.0,100.0,8.0,108.56,7.5,101.0,0.06,102.57,45.49,3.75,0.67,100.0,0.0,0.0,0.07
69,78.32,0.0,100.0,1.5,52.8,1.75,51.0,0.05,120.15,20.35,3.66,0.67,100.0,0.0,0.0,0.07
70,57.29,0.0,100.0,15.44,103.07,9.7,93.32,0.05,126.1,39.15,1.71,0.67,100.0,0.0,0.0,0.07
71,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,49.75,25.81,2.65,0.67,100.0,0.0,0.0,0.06
72,77.4,0.0,100.0,2.26,55.02,2.68,52.28,0.06,139.34,35.15,3.63,0.39,58.0,42.0,0.0,0.08
73,76.24,0.0,100.0,5.48,57.78,5.4,52.28,0.1,53.23,28.38,1.61,0.39,42.0,0.0,58.0,0.06
74,53.95,0.0,100.0,16.0,111.07,10.0,101.0,0.07,89.18,45.23,2.45,0.67,100.0,0.0,0.0,0.08
75,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,118.93,44.36,4.07,0.67,100.0,0.0,0.0,0.07
76,75.1,0.0,100.0,1.93,60.51,2.24,58.22,0.05,121.33,30.72,3.41,0.46,69.0,31.0,0.0,0.08
77,54.99,0.0,100.0,8.0,108.56,7.5,101.0,0.06,101.05,45.26,0.94,0.67,100.0,0.0,0.0,0.07
78,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,59.86,8.03,1.82,0.67,100.0,0.0,0.0,0.08
79,70.28,0.0,100.0,6.62,72.03,6.35,65.58,0.1,66.44,37.62,0.51,0.51,23.0,0.0,77.0,0.06
80,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,84.45,6.7,5.79,0.67,100.0,0.0,0.0,0.08
81,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,76.97,29.99,2.99,0.67,0.0,100.0,0.0,0.07
82,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,60.47,30.87,3.64,0.67,100.0,0.0,0.0,0.07
83,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,136.81,30.0,1.6,0.67,100.0,0.0,0.0,0.07
84,74.93,0.0,100.0,1.0,60.92,1.0,59.82,0.1,111.34,30.36,0.48,0.47,0.0,29.0,71.0,0.07
85,70.48,0.0,100.0,1.19,71.56,1.28,70.22,0.05,128.87,37.71,3.34,0.67,100.0,0.0,0.0,0.06
86,73.57,0.0,100.0,7.84,64.18,6.6,57.48,0.1,88.79,44.4,6.34,0.45,32.0,0.0,68.0,0.06
87,76.26,0.0,100.0,9.42,57.74,6.47,51.18,0.09,60.79,35.51,1.48,0.35,47.0,0.0,53.0,0.08
88,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,128.1,46.2,3.99,0.67,100.0,0.0,0.0,0.07
89,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,56.34,11.78,5.13,0.67,0.0,100.0,0.0,0.07
90,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,59.33,26.37,9.67,0.67,0.0,0.0,100.0,0.07
91,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,135.07,37.02,2.07,0.67,100.0,0.0,0.0,0.11
92,57.69,0.0,100.0,1.0,102.13,1.0,101.0,0.13,86.43,37.14,1.03,0.67,0.0,0.0,100.0,0.06
93,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,104.91,46.22,3.16,0.67,100.0,0.0,0.0,0.06
94,76.34,0.0,100.0,3.61,57.56,3.33,54.18,0.05,132.85,43.01,1.65,0.65,98.0,0.0,2.0,0.07
95,75.64,0.0,100.0,6.4,59.22,4.24,54.92,0.06,130.6,40.58,0.73,0.43,36.0,64.0,0.0,0.07
96,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,72.69,38.09,1.56,0.67,100.0,0.0,0.0,0.07
97,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,73.69,13.85,1.83,0.67,100.0,0.0,0.0,0.07
98,76.47,0.0,100.0,4.46,57.23,4.55,52.62,0.06,114.68,43.94,2.77,0.67,100.0,0.0,0.0,0.07
99,78.56,0.0,100.0,1.0,52.24,1.0,51.18,0.06,89.13,38.98,2.76,0.35,53.0,47.0,0.0,0.06
100,77.4,0.0,100.0,2.68,55.02,3.24,51.72,0.06,62.71,37.55,2.63,0.67,100.0,0.0,0.0,0.06
